Source;Human;Mouse;Function;Location;Target;Human;Mouse;Function;Location;Effects;Type of interaction;PubMedID
XIAP;P98170;Q60989;Inhibitor;Cytosol;CASPASE3;P42574;P70677;Protease;Cytosol;_;Binding;9230442
XIAP;P98170;Q60989;Inhibitor;Cytosol;CASPASE7;P55210;P97864;Protease;Cytosol;_;Binding;9230442
XIAP;P98170;Q60989;Inhibitor;Cytosol;CASPASE9;P55211;Q9R0T0;Protease;Cytosol;_;Binding;12620238
XIAP;P98170;Q60989;Inhibitor;Cytosol;CASPASE3;P42574;P70677;Protease;Cytosol;_;Binding;10508158
XIAP;P98170;Q60989;Inhibitor;Cytosol;CASPASE7;P55210;P97864;Protease;Cytosol;_;Binding;10508158
XIAP;P98170;Q60989;Inhibitor;Cytosol;CASPASE9;P55211;Q9R0T0;Protease;Cytosol;_;Binding;10508158
cIAP1;Q13490;O08863;Inhibitor;Cytosol;CASPASE3;P42574;P70677;Protease;Cytosol;_;Binding;9384571
cIAP1;Q13490;O08863;Inhibitor;Cytosol;CASPASE7;P55210;P97864;Protease;Cytosol;_;Binding;9384571
cIAP2;Q13489;O08863;Inhibitor;Cytosol;CASPASE3;P42574;P70677;Protease;Cytosol;_;Binding;9384571
cIAP2;Q13489;O08863;Inhibitor;Cytosol;CASPASE7;P55210;P97864;Protease;Cytosol;_;Binding;9384571
XIAP;O15392;O70201;Inhibitor;Cytosol;CASPASE3;P42574;P70677;Protease;Cytosol;_;Binding;9384571
XIAP;O15392;O70201;Inhibitor;Cytosol;CASPASE7;P55210;P97864;Protease;Cytosol;_;Binding;9384571
CYTOCHROMEC;P10606;P19536;DualRole;Mitochondria;APAF1;O14727;O88879;Adapter;Cytosol;+;Binding;9267021
CYTOCHROMEC;P10606;P19536;DualRole;Mitochondria;APAF1;O14727;O88879;Adapter;Cytosol;+;Binding;9390557
APAF1;O14727;O88879;Adapter;Cytosol;CASPASE9;P55211;Q9R0T0;Protease;Cytosol;+;Cleavage;9651578
APAF1;O14727;O88879;Adapter;Cytosol;CASPASE9;P55211;Q9R0T0;Protease;Cytosol;+;Cleavage;9390557
APAF1;O14727;O88879;Adapter;Cytosol;CASPASE9;P55211;Q9R0T0;Protease;Cytosol;+;Cleavage;9837928
NAIP;Q13075;Q9QWK5;Inhibitor;Cytosol;CASPASE9;P55211;Q9R0T0;Protease;Cytosol;_;Binding;15280366
HIPPOCALCIN;P84074;P84075;Adapter;Cytosol;NAIP;Q13075;Q9QWK5;Inhibitor;Cytosol;+;Binding;15280366
HIPPOCALCIN;P84074;P84075;Adapter;Cytosol;NAIP;Q13075;Q9QWK5;Inhibitor;Cytosol;+;Binding;10899114
NAIP;Q13075;Q9QWK5;Inhibitor;Cytosol;CASPASE3;P42574;P70677;Protease;Cytosol;_;Binding;11896143
NAIP;Q13075;Q9QWK5;Inhibitor;Cytosol;CASPASE7;P55210;P97864;Protease;Cytosol;_;Binding;11896143
APOLLON;Q9NR09;NA;Ubiquitinase;Cytosol;SMACDIABLO;Q9NR28;Q99M73;Inhibitor;Mitochondria;_;Ubiquitination;15300255
APOLLON;Q9NR09;NA;Ubiquitinase;Cytosol;CASPASE9;P55211;Q9R0T0;Protease;Cytosol;_;Ubiquitination;15300255
SURVIVIN;O15392;O70201;Adapter;Cytosol;SMACDIABLO;Q9NR28;Q99M73;Inhibitor;Mitochondria;_;Binding;12660240
PKA;P17612;P05132;Kinase;Cytosol;MAP2;P11137;P20357;Cytoskeleton;Cytosol;+;Phosphorylation;2561875
PKA;P17612;P05132;Kinase;Cytosol;MAP2;P11137;P20357;Cytoskeleton;Cytosol;+;Phosphorylation;12369833
PKC;P17252;P05697;Kinase;Cytosol;MAP2;P11137;P20357;Cytoskeleton;Cytosol;+;Phosphorylation;2561875
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;MAP2;P11137;P20357;Cytoskeleton;Cytosol;+;Phosphorylation;2561875
PKC;P17252;P05697;Kinase;Cytosol;MBP;P02686;P04370;Cytoskeleton;Cytosol;+;Phosphorylation;10460230
TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;0;Binding;8910394
TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;PI3K;P42336;P42337;Kinase;Cytosol;0;Binding;8910394
DYNEIN;Q15701;Q15701;Adapter;Cytosol;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;0;Binding;10679011
MAP1B;P46821;P14873;Activator;Cytosol;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;0;Binding;10679011
SYK;P43405;P70424;Kinase;Cytosol;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;+;Phosphorylation;8617742
ZAP70;P43403;P05480;Kinase;Cytosol;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;+;Phosphorylation;8617742
FYN;P06241;P39688;Kinase;Cytosol;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;+;Phosphorylation;7678277
LYN;P07948;P08103;Kinase;Cytosol;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;+;Phosphorylation;7678277
SRC;P12931;P05480;Kinase;Cytosol;CORTACTIN;Q14247;Q60598;Cytoskeleton;Cytosol;_;Phosphorylation;7680654
CORTACTIN;Q14247;Q60598;Cytoskeleton;Cytosol;DYNAMIN;Q05193;P09922;GTPase;Vesicles;0;Binding;7680654
CORTACTIN;Q14247;Q60598;Cytoskeleton;Cytosol;ARP23;O15143;Q9WV32;Cytoskeleton;Cytosol;+;Binding;11018051
CORTACTIN;Q14247;Q60598;Cytoskeleton;Cytosol;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;+;Binding;11018051
CORTACTIN;Q14247;Q60598;Cytoskeleton;Cytosol;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;+;Binding;7680654
CALMODULIN;P62158;P62204;Activator;Cytosol;MARCKS;P29966;P26645;Adapter;Cytosol;_;Binding;1560845
CALMODULIN;P62158;P62204;Activator;Cytosol;MARCKS;P29966;P26645;Adapter;Cytosol;_;Binding;2557349
ACTIN;P60712;P60711;Cytoskeleton;Cytosol;MARCKS;P29966;P26645;Adapter;Cytosol;0;Binding;1560845
PKC;P17252;P05697;Kinase;Cytosol;MARCKS;P29966;P26645;Adapter;Cytosol;_;Phosphorylation;1560845
CDK5;Q00535;P49615;Kinase;Cytosol;NFH;P12036;P08553;Cytoskeleton;Cytosol;+;Phosphorylation;7760048
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;NFH;P12036;P08553;Cytoskeleton;Cytosol;_;Dephosphorylation;7760048
NMDAR;Q12879;P35436;Receptor;Membrane;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;0;Binding;10037467
PP1;P36873;P37139;Phosphatase;Cytosol;COFILIN;P23528;P18760;Cytoskeleton;Cytosol;+;Dephosphorylation;11093160
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;COFILIN;P23528;P18760;Cytoskeleton;Cytosol;+;Dephosphorylation;11093160
COFILIN;P23528;P18760;Cytoskeleton;Cytosol;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;_;Binding;10980704
COFILIN;P23528;P18760;Cytoskeleton;Cytosol;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;_;Binding;15364581
GELSOLIN;P06396;P13020;Cytoskeleton;Cytosol;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;_;Cleavage;9334393
CASPASE6;P55212;O08738;Protease;Cytosol;LAMINA;P02545;P14733;Cytoskeleton;Nucleus;_;Cleavage;11953316
CASPASE3;P42574;P70677;Protease;Cytosol;GELSOLIN;P06396;P13020;Cytoskeleton;Cytosol;_;Cleavage;9323209
GELSOLIN;P06396;P13020;Cytoskeleton;Cytosol;CASPASE9;P55211;Q9R0T0;Protease;Cytosol;_;Binding;10660524
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;MAP2;P11137;P20357;Cytoskeleton;Cytosol;_;Dephosphorylation;8393539
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;MAP2;P11137;P20357;Cytoskeleton;Cytosol;_;Dephosphorylation;2987415
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;TAU;P10636;P20357;Activator;Cytosol;_;Dephosphorylation;2987415
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;_;Dephosphorylation;2987415
MAPK;P28482;P27703;Kinase;Cytosol;NFH;P12036;P08553;Cytoskeleton;Cytosol;_;Phosphorylation;9592082
MAPK;P28482;P27703;Kinase;Cytosol;NFM;P07197;P08553;Cytoskeleton;Cytosol;_;Phosphorylation;9592082
CALPAIN;P07384;O35350;Protease;Cytosol;SPECTRIN;O15020;Q62261;Cytoskeleton;Cytosol;_;Cleavage;11880203
PKC;P17252;P05697;Kinase;Cytosol;ADDUCIN;P35611;Q9QYB5;Adapter;Cytosol;_;Phosphorylation;9679146
CALMODULIN;P62158;P62204;Activator;Cytosol;ADDUCIN;P35611;Q9QYB5;Adapter;Cytosol;+;Binding;9679146
PKC;P17252;P05697;Kinase;Cytosol;ADDUCIN;P35611;Q9QYB5;Adapter;Cytosol;_;Phosphorylation;8810272
CALMODULIN;P62158;P62204;Activator;Cytosol;ADDUCIN;P35611;Q9QYB5;Adapter;Cytosol;+;Binding;8810272
PKA;P17612;P05132;Kinase;Cytosol;ADDUCIN;P35611;Q9QYB5;Adapter;Cytosol;_;Phosphorylation;8810272
CALMODULIN;P62158;P62204;Activator;Cytosol;SPECTRIN;O15020;Q62261;Cytoskeleton;Cytosol;_;Binding;2492524
TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;GABARAP;Q9BY60;P60518;Adapter;Cytosol;0;Binding;11779480
ACTIN;P60712;P60711;Cytoskeleton;Cytosol;N41;P11171;P48193;Adapter;Cytosol;0;Binding;12399578
EGFR;P00533;Q01279;Receptor;Membrane;N41;P11171;P48193;Adapter;Cytosol;+;Phosphorylation;1647028
ACTIN;P60712;P60711;Cytoskeleton;Cytosol;SPECTRIN;O15020;Q62261;Cytoskeleton;Cytosol;0;Binding;1647028
N41;P11171;P48193;Adapter;Cytosol;SPECTRIN;O15020;Q62261;Cytoskeleton;Cytosol;0;Binding;1647028
ACTIN;P60712;P60711;Cytoskeleton;Cytosol;IQGAP;P46940;Q9JKF1;GAP;Cytosol;0;Binding;11809768
ACTIN;P60712;P60711;Cytoskeleton;Cytosol;IQGAP;P46940;Q9JKF1;GAP;Cytosol;0;Binding;9199170
CORTACTIN;Q14247;Q60598;Cytoskeleton;Cytosol;SHANK;Q9Y566;P31695;Adapter;Cytosol;0;Binding;10433268
SYNAPSIN;P17600;O88935;Vesicle;Vesicles;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;+;Binding;7849051
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;_;Phosphorylation;7849051
PKA;P17612;P05132;Kinase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;_;Phosphorylation;7849051
ACTIN;P60712;P60711;Cytoskeleton;Cytosol;ALPHAACTININ;Q08043;O88990;Cytoskeleton;Cytosol;0;Binding;1107334
ANKYRIN;P16157;Q02357;Cytoskeleton;Cytosol;SPECTRIN;O15020;Q62261;Cytoskeleton;Cytosol;0;Binding;2933395
CASK;Q9HCP0;Q8BTH8;Kinase;Cytosol;ANKYRIN;P16157;Q02357;Cytoskeleton;Cytosol;_;Phosphorylation;2933395
SPECTRIN;O15020;Q62261;Cytoskeleton;Cytosol;ICA512;Q16849;P80560;Receptor;Membrane;0;Binding;11086001
VASP;P50552;P70460;Adapter;Cytosol;PROFILIN;P47756;P47757;Cytoskeleton;Cytosol;0;Binding;9034331
ROCK;O75116;P70336;Kinase;Cytosol;PROFILIN;P47756;P47757;Cytoskeleton;Cytosol;+;Phosphorylation;14517206
PKA;P17612;P05132;Kinase;Cytosol;FILAMIN;P21333;Q8BTM8;Cytoskeleton;Cytosol;+;Phosphorylation;15228085
ACTIN;P60712;P60711;Cytoskeleton;Cytosol;FILAMIN;P21333;Q8BTM8;Cytoskeleton;Cytosol;0;Binding;325564
PKA;P17612;P05132;Kinase;Cytosol;FILAMIN;P21333;Q8BTM8;Cytoskeleton;Cytosol;+;Phosphorylation;207708
KINESIN;Q07866;Q9DBS5;Cytoskeleton;Cytosol;JIP;Q9UQF2;Q9WVI9;Adapter;Cytosol;0;Binding;11238452
ACTIN;P60712;P60711;Cytoskeleton;Cytosol;NEURABIN;Q9ULJ8;Q99NH2;Adapter;Cytosol;0;Binding;9362513
TALIN;Q9Y490;P26039;Cytoskeleton;Cytosol;INTEGRIN;P05556;P09055;CellAdhesion;Membrane;0;Binding;7716514
TALIN;Q9Y490;P26039;Cytoskeleton;Cytosol;INTEGRIN;P05556;P09055;CellAdhesion;Membrane;0;Binding;3124107
ACTIN;P60712;P60711;Cytoskeleton;Cytosol;VINCULIN;P18206;Q64727;Cytoskeleton;Cytosol;0;Binding;6789327
VINCULIN;P18206;Q64727;Cytoskeleton;Cytosol;TALIN;Q9Y490;P26039;Cytoskeleton;Cytosol;0;Binding;6425696
PAXILLIN;P49023;Q8CI51;Adapter;Cytosol;PAK;Q13153;O88643;Kinase;Cytosol;0;Binding;11096073
PAK;Q13153;O88643;Kinase;Cytosol;COOL;Q14155;Q9ES28;GEF;Cytosol;+;Binding;11096073
PAK;Q13153;O88643;Kinase;Cytosol;COOL;Q14155;Q9ES28;GEF;Cytosol;+;Binding;9726964
SHANK;Q9Y566;P31695;Adapter;Cytosol;COOL;Q14155;Q9ES28;GEF;Cytosol;+;Binding;12626503
GIT1;Q9Y2X7;Q9JLQ2;Adapter;Cytosol;COOL;Q14155;Q9ES28;GEF;Cytosol;0;Binding;12695502
ACTIN;P60712;P60711;Cytoskeleton;Cytosol;TALIN;Q9Y490;P26039;Cytoskeleton;Cytosol;0;Binding;2121138
PKCE;Q02156;P16054;Kinase;Cytosol;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;0;Binding;9756923
MAP2;P11137;P20357;Cytoskeleton;Cytosol;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;0;Binding;11278895
MAP1A;P78559;Q9QYR6;Cytoskeleton;Cytosol;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;0;Binding;11278895
MAP1B;P46821;P14873;Cytoskeleton;Cytosol;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;0;Binding;11278895
PSD95;P78352;Q62108;Adapter;Cytosol;CRIPT;Q9P021;Q9Z1F9;Adapter;Cytosol;0;Binding;9581762
PSD95;P78352;Q62108;Adapter;Cytosol;CRIPT;Q9P021;Q9Z1F9;Adapter;Cytosol;0;Binding;10570482
CRIPT;Q9P021;Q9Z1F9;Adapter;Cytosol;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;0;Binding;10570482
CALPAIN;P07384;O35350;Protease;Cytosol;MAP2;P11137;P20357;Cytoskeleton;Cytosol;_;Cleavage;8391085
PKA;P17612;P05132;Kinase;Cytosol;MAP2;P11137;P20357;Cytoskeleton;Cytosol;+;Phosphorylation;8391085
MYOSINV;Q8NFW9;Q8K3I4;Cytoskeleton;Cytosol;CAMKII;Q9UQM7;P11798;Kinase;Cytosol;+;Binding;10336484
CALMODULIN;P62158;P62204;Activator;Cytosol;MYOSINV;Q8NFW9;Q8K3I4;Cytoskeleton;Cytosol;0;Binding;10336484
CALMODULIN;P62158;P62204;Activator;Cytosol;MYOSINV;Q8NFW9;Q8K3I4;Cytoskeleton;Cytosol;0;Binding;1469047
FASCIN;O94856;Q810U3;CellAdhesion;Membrane;ANKYRIN;P16157;Q02357;Cytoskeleton;Cytosol;0;Binding;7961622
CRMP2;Q16555;P47942;Activator;Cytosol;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;+;Binding;12134159
TAU;P10636;P20357;Activator;Cytosol;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;0;Binding;1421571
PKC;P17252;P05697;Kinase;Cytosol;EIF4E;P06730;P20415;Adapter;Ribosomes;+;Phosphorylation;2355012
PKC;P17252;P05697;Kinase;Cytosol;EIF4E;P06730;P20415;Adapter;Ribosomes;+;Phosphorylation;1911648
SRP54;P61011;P14576;Adapter;Ribosomes;SRPR;P08240;Q9DBG7;Receptor;ER;+;Binding;12913112
SRPR;P08240;Q9DBG7;Receptor;ER;SEC61P;P61620;P61621;Channel;ER;+;Binding;12913112
PERK;Q9NZJ5;Q9Z2B5;Kinase;Cytosol;EIF2;P05198;P05199;Ribosome;Ribosomes;+;Phosphorylation;9930704
PKR;Q8TCW9;Q9JKL1;Kinase;Cytosol;EIF2;P05198;P05199;Ribosome;Ribosomes;_;Phosphorylation;3479429
PKR;Q8TCW9;Q9JKL1;Kinase;Cytosol;EIF2;P05198;P05199;Ribosome;Ribosomes;_;Phosphorylation;10866685
EIF4G;P78344;Q8VE62;Ribosome;Ribosomes;DCP1;P12821;P22967;Ribosome;Ribosomes;0;Binding;10944120
EIF4G;P78344;Q8VE62;Ribosome;Ribosomes;EIF4E;P06730;P20415;Adapter;Ribosomes;0;Binding;10944120
EIF4G;P78344;Q8VE62;Ribosome;Ribosomes;PABP;P11940;P29341;Adapter;Ribosomes;0;Binding;10944120
EIF4G;P78344;Q8VE62;Ribosome;Ribosomes;PABP;P11940;P29341;Ribosome;Ribosomes;0;Binding;9195926
EIF4G;P78344;Q8VE62;Ribosome;Ribosomes;MNK1;Q9BXL6;Q99KF0;Kinase;Cytosol;0;Binding;9878069
CASPASE3;P42574;P70677;Protease;Cytosol;EIF4G;P78344;Q8VE62;Ribosome;Ribosomes;_;Cleavage;10371215
PKR;Q8TCW9;Q9JKL1;Kinase;Cytosol;EIF2;P05198;P05199;Ribosome;Ribosomes;_;Phosphorylation;7890757
PKR;Q8TCW9;Q9JKL1;Kinase;Cytosol;EIF2;P05198;P05199;Ribosome;Ribosomes;_;Phosphorylation;11555640
EIF5;P55010;P59325;Ribosome;Ribosomes;EIF2;P05198;P05199;Ribosome;Ribosomes;+;Binding;9395514
PHAS;Q13541;P70445;Inhibitor;Ribosomes;EIF4E;P06730;P20415;Adapter;Ribosomes;_;Binding;7935836
EIF3;O75822;O75822;Ribosome;Ribosomes;EIF4G;P78344;Q8VE62;Ribosome;Ribosomes;+;Binding;11022043
EIF4A;P60843;P60842;Ribosome;Ribosomes;EIF4G;P78344;Q8VE62;Ribosome;Ribosomes;0;Binding;9372926
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;GSK3;P49840;Q9WV60;Kinase;Cytosol;+;Dephosphorylation;11897496
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;PKB;P31749;Q60823;Kinase;Cytosol;_;Dephosphorylation;11897496
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;TAU;P10636;P20357;Activator;Cytosol;_;Dephosphorylation;12064514
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;TAU;P10636;P20357;Activator;Cytosol;_;Dephosphorylation;8720139
SIVA1;O15304;P02798;Adapter;Cytosol;BCLXL;Q07817;P70345;Bcl2Family;Mitochondria;_;Binding;14739602
CALBRAIN;Q9NZU7;Q9JLK7;Inhibitor;Cytosol;CAMKII;Q9UQM7;P11798;Kinase;Cytosol;_;Binding;9920909
CALMODULIN;P62158;P62204;Activator;Cytosol;AKAP;P24588;Q9JL25;Adapter;Cytosol;_;Binding;9202019
CALMODULIN;P62158;P62204;Activator;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;_;Binding;11585916
CALMODULIN;P62158;P62204;Activator;Cytosol;VAMP;Q9P0L0;Q9WV55;Vesicle;Vesicles;_;Binding;10944231
PKC;P17252;P05697;Kinase;Cytosol;bARK;P25098;O70293;Kinase;Cytosol;_;Phosphorylation;9013639
CALMODULIN;P62158;P62204;Activator;Cytosol;bARK;P25098;O70293;Kinase;Cytosol;_;Binding;11042191
DENSIN;Q15003;Q9JI18;Adapter;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;0;Binding;10827168
GRB2;P62993;Q60631;Adapter;Cytosol;PTPA;P18433;P18052;Phosphatase;Cytosol;_;Binding;8670803
BETAARRESTIN;P49407;Q91YI4;Adapter;Cytosol;CLATHRIN;P09496;O08585;Vesicle;Vesicles;0;Binding;10770944
BETAARRESTIN;P49407;Q91YI4;Adapter;Cytosol;AP2;P53680;P61966;Adapter;Vesicles;0;Binding;10770944
GABABR;Q9UBS5;Q8K452;Receptor;Membrane;GALPHAO;P09471;P18872;Gprotein;Cytosol;+;Binding;12917685
GABABR;Q9UBS5;Q8K452;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;11416164
EIF4A;P60843;P60842;Ribosome;Ribosomes;EIF4G;P78344;Q8VE62;Ribosome;Ribosomes;0;Binding;10480875
CBP;Q92793;P45481;TF;Nucleus;EIF4G;P78344;Q8VE62;Ribosome;Ribosomes;0;Binding;15059963
PKC;P17252;P05697;Kinase;Cytosol;MGLUR1;Q13255;P97772;Receptor;Membrane;+;Phosphorylation;15305863
CALMODULIN;P62158;P62204;Activator;Cytosol;PDE1A;P54750;Q61481;PDE;Cytosol;+;Binding;3021730
CALMODULIN;P62158;P62204;Activator;Cytosol;PDE1B;Q01064;Q01064;PDE;Cytosol;+;Binding;3021730
CALMODULIN;P62158;P62204;Activator;Cytosol;PDE1C;Q14123;Q64338;PDE;Cytosol;+;Binding;15082510
PKA;P17612;P05132;Kinase;Cytosol;PDE3A;Q14432;Q9Z0X4;PDE;Cytosol;+;Phosphorylation;2839485
PKA;P17612;P05132;Kinase;Cytosol;PDE3B;Q13370;Q61409;PDE;Cytosol;+;Phosphorylation;2839485
PKA;P17612;P05132;Kinase;Cytosol;PDE4D;Q08499;Q01063;PDE;Cytosol;+;Phosphorylation;15082510
PKG;Q13237;Q9Z0Z0;Kinase;Cytosol;PDE5A;O76074;Q8CG03;PDE;Cytosol;+;Phosphorylation;15082510
PKA;P17612;P05132;Kinase;Cytosol;PDE5A;O76074;Q8CG03;PDE;Cytosol;+;Phosphorylation;15082510
BETAARRESTIN;P49407;Q91YI4;Adapter;Cytosol;PDE4D;Q08499;Q01063;PDE;Cytosol;+;Binding;12399592
BETAARRESTIN;P49407;Q91YI4;Adapter;Cytosol;PDE4D;Q08499;Q01063;PDE;Cytosol;+;Binding;12552097
PKA;P17612;P05132;Kinase;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;+;Phosphorylation;9115280
PKC;P17252;P05697;Kinase;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;_;Phosphorylation;9115280
GALPHA11;P29992;P21279;Gprotein;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;+;Binding;12578375
CBL;Q13191;P22682;Ubiquitinase;Cytosol;CRK;P46108;Q64010;Adapter;Cytosol;_;Binding;8626404
CBL;Q13191;P22682;Ubiquitinase;Cytosol;CRK;P46108;Q64010;Adapter;Cytosol;_;Binding;12697763
CBL;Q13191;P22682;Ubiquitinase;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;_;Ubiquitination;8626404
CBL;Q13191;P22682;Ubiquitinase;Cytosol;FYN;P06241;P39688;Kinase;Cytosol;_;Binding;8083187
CBL;Q13191;P22682;Ubiquitinase;Cytosol;FYN;P06241;P39688;Kinase;Cytosol;_;Binding;15208330
CBL;Q13191;P22682;Ubiquitinase;Cytosol;LCK;P06239;P08103;Kinase;Cytosol;_;Binding;8083187
CBL;Q13191;P22682;Ubiquitinase;Cytosol;LCK;P06239;P08103;Kinase;Cytosol;_;Binding;11904433
CDC42;P60953;P60766;GTPase;Cytosol;MLK3;Q02779;Q60700;Kinase;Cytosol;+;Binding;10799501
RAC;P15154;P15154;GTPase;Cytosol;MLK3;Q02779;Q60700;Kinase;Cytosol;+;Binding;10799501
JNK;P45983;Q91Y86;Kinase;Nucleus;ATF2;P15336;Q60765;TF;Nucleus;+;Phosphorylation;7824938
SYNGAP;Q96PV0;Q60790;GEF;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;_;GAP;9581761
SYNGAP;Q96PV0;Q60790;GEF;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;_;GAP;15312654
SYNGAP;Q96PV0;Q60790;GEF;Cytosol;RAP1;P10113;P10113;GTPase;Cytosol;_;GAP;15312654
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;ASK1;Q99683;O35099;Kinase;Cytosol;+;Phosphorylation;14749717
ASK1;Q99683;O35099;Kinase;Cytosol;MEK3;Q8IVH8;Q8BPM2;Kinase;Cytosol;+;Phosphorylation;8974401
ASK1;Q99683;O35099;Kinase;Cytosol;MEK4;P45985;P47809;Kinase;Cytosol;+;Phosphorylation;8974401
MEKK3;Q99759;Q61084;Kinase;Cytosol;MEK3;Q8IVH8;Q8BPM2;Kinase;Cytosol;+;Phosphorylation;9162092
MEKK2;Q9Y2U5;Q61083;Kinase;Cytosol;MEK4;P45985;P47809;Kinase;Cytosol;+;Phosphorylation;9162092
MUPP1;O43798;O55164;Adapter;Cytosol;SYNGAP;Q96PV0;Q60790;GEF;Cytosol;_;Binding;15312654
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;MUPP1;O43798;O55164;Adapter;Cytosol;0;Binding;15312654
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;SYNGAP;Q96PV0;Q60790;GEF;Cytosol;_;Phosphorylation;9620694
RASGAP;Q8IV61;Q91ZC8;GAP;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;_;GAP;2833817
RASGAP;Q8IV61;Q91ZC8;GAP;Cytosol;PKB;P31749;Q60823;Kinase;Cytosol;+;Binding;14707121
ILK;Q13418;O55222;Kinase;Cytosol;PKB;P31749;Q60823;Kinase;Cytosol;+;Phosphorylation;9736715
ILK;Q13418;O55222;Kinase;Cytosol;GSK3;P49840;Q9WV60;Kinase;Cytosol;_;Phosphorylation;9736715
CAMKK;Q96RP1;Q9R054;Kinase;Cytosol;CAMKI;Q14012;Q91YS8;Kinase;Cytosol;+;Phosphorylation;8631893
CAMKK;Q96RP1;Q9R054;Kinase;Cytosol;CAMKIV;Q16566;P08414;Kinase;Cytosol;+;Phosphorylation;8631893
CAMKK;Q96RP1;Q9R054;Kinase;Cytosol;CAMKI;Q14012;Q91YS8;Kinase;Cytosol;+;Phosphorylation;7642608
CAMKK;Q96RP1;Q9R054;Kinase;Cytosol;CAMKIV;Q16566;P08414;Kinase;Cytosol;+;Phosphorylation;7642608
CAMKK;Q96RP1;Q9R054;Kinase;Cytosol;PKB;P31749;Q60823;Kinase;Cytosol;+;Phosphorylation;9859994
CAMKIV;Q16566;P08414;Kinase;Cytosol;CREB;P16220;Q01147;TF;Nucleus;+;Phosphorylation;7958915
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;CREB;P16220;Q01147;TF;Nucleus;+;Phosphorylation;7958915
CAMKK;Q96RP1;Q9R054;Kinase;Cytosol;CAMKI;Q14012;Q91YS8;Kinase;Cytosol;+;Phosphorylation;10400638
CAMKIV;Q16566;P08414;Kinase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;+;Phosphorylation;10400638
MUNC13;O14795;Q9Z1N9;Vesicle;Vesicles;SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;+;Binding;8999968
COMPLEXIN;O14810;Q64276;Vesicle;Vesicles;SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;0;Binding;7553862
COMPLEXIN;O14810;Q64276;Vesicle;Vesicles;SNAP25;P60878;P60881;Vesicle;Vesicles;0;Binding;7553862
SNAPIN;P60878;P60881;Vesicle;Vesicles;AC5;O95622;Q01341;Cyclase;Membrane;+;Binding;15319443
