INTERACTOR1	INTERACTION_TYPE	INTERACTOR2	PMID
CyclinY*	CATALYSIS	CK1_gamma_*	18077588;20059949;20229235;20627573
RAD1	INHIBITION	CDC6	14726013;15459660;15703371;16697054;16885023;17102137;17116885;17296725;17303408;17493829;17582221;19793801;19847258;20478261;8943031;9524127
SKP1	CATALYSIS	EMI1*	11900249;12648680;15459660;15703371;16697054;17884153;18931676;19270156;19622404;19686080;19809470;19847258
SKP2	CATALYSIS	EMI1*	11900249;12648680;15459660;15703371;16697054;17884153;18931676;19270156;19622404;19686080;19809470;19847258
cleaved~Caspase9*	CATALYSIS	Caspase7*	N/A
PPP3CB_sub_trunc_endsub_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CSE1L	11030334;11274345;11402342;14627704;17593948;17662023;21709260
BAF53A*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	H2B*	17320397
E2F3_alone	POSITIVE_INFLUENCE	E2F1	10766737;14576826
MT-CO3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	COX7A*	N/A
MT-CO2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	COX7A*	N/A
CUL1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SKP1	11516665;11900249;12648680;12820959;14536078;15071497;15147722;15340381;15459660;15489953;15668399;15688063;15703371;16371461;16611981;16651270;16697054;17053147;17884153;18636226;18787170;18813803;18931676;19270156;19622404;19686080;19797085;19809470;19847258;N/A
MT-CO1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	COX7A*	N/A
CUL1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SKP2	11516665;11900249;12648680;12820959;15071497;15147722;15340381;15459660;15668399;15688063;15703371;16697054;17884153;18931676;19270156;19622404;19686080;19809470;19847258
SKP2	CATALYSIS	CDC25A	11900249;12648680;15459660;15703371;16697054;17884153;18931676;19270156;19622404;19686080;19809470;19847258
SKP1	CATALYSIS	CDC25A	11900249;12648680;15459660;15703371;16697054;17884153;18931676;19270156;19622404;19686080;19809470;19847258
MIR29B*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	BMF	21245165
CLSPN	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	MCM4	10882098;11438669;11571269;11877377;11900249;12185086;12535671;12648680;12766152;12875843;12909626;12930902;12947387;12972610;14676842;14726013;15189466;15279786;15459660;15474417;15703371;15798197;16697054;16731533;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17386261;17582221;17608804;17652783;17660363;17884153;17887956;18048416;18082604;18082605;18087292;18196958;18550849;18584027;18590585;18677104;18756267;18809224;18931676;19075014;19217432;19258535;19264559;19282663;19473888;19490890;19595721;19596235;19596236;19622404;19667075;19686080;19772495;19793801;19793861;19793862;19809470;19841479;19847258;20019063;20029420;20081207;20173781;20211143;20227374;20478261;20723763;20832754;21060331;21282463;21337561;21376743;21406556;21527023;21948210;22101340;22257761;22266823;22373527;22505525;22615860;22657828;22743550;22751496;22824526;23085398;23253856;23444773;24050180;24089143;24095737;7533895;7575488;8020957;8264637;8978692
CLSPN	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	MCM5	10882098;11438669;11571269;11877377;11900249;12185086;12535671;12648680;12766152;12875843;12909626;12930902;12947387;12972610;14676842;14726013;15189466;15279786;15459660;15474417;15703371;15798197;16697054;16731533;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17386261;17582221;17608804;17652783;17660363;17884153;17887956;18048416;18082604;18082605;18087292;18196958;18550849;18584027;18590585;18677104;18756267;18809224;18931676;19075014;19217432;19258535;19264559;19282663;19473888;19490890;19595721;19596235;19596236;19622404;19667075;19686080;19772495;19793801;19793861;19793862;19809470;19841479;19847258;20019063;20029420;20081207;20173781;20211143;20227374;20478261;20723763;20832754;21060331;21282463;21337561;21376743;21406556;21527023;21948210;22101340;22257761;22266823;22373527;22505525;22615860;22657828;22743550;22751496;22824526;23085398;23253856;23444773;24050180;24089143;24095737;7533895;7575488;8020957;8264637;8978692
NDUFB8	STATE_TRANSITION	cleaved~NDUFS1*	15186778
CLSPN	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	MCM2	10882098;11438669;11571269;11877377;11900249;12185086;12535671;12648680;12766152;12875843;12909626;12930902;12947387;12972610;14676842;14726013;15189466;15279786;15459660;15474417;15703371;15798197;16697054;16731533;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17386261;17582221;17608804;17652783;17660363;17884153;17887956;18048416;18082604;18082605;18087292;18196958;18550849;18584027;18590585;18677104;18756267;18809224;18931676;19075014;19217432;19258535;19264559;19282663;19473888;19490890;19595721;19596235;19596236;19622404;19667075;19686080;19772495;19793801;19793861;19793862;19809470;19841479;19847258;20019063;20029420;20081207;20173781;20211143;20227374;20478261;20723763;20832754;21060331;21282463;21337561;21376743;21406556;21527023;21948210;22101340;22257761;22266823;22373527;22505525;22615860;22657828;22743550;22751496;22824526;23085398;23253856;23444773;24050180;24089143;24095737;7533895;7575488;8020957;8264637;8978692
NDUFS4	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFS3	N/A
CLSPN	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	MCM3	10882098;11438669;11571269;11877377;11900249;12185086;12535671;12648680;12766152;12875843;12909626;12930902;12947387;12972610;14676842;14726013;15189466;15279786;15459660;15474417;15703371;15798197;16697054;16731533;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17386261;17582221;17608804;17652783;17660363;17884153;17887956;18048416;18082604;18082605;18087292;18196958;18550849;18584027;18590585;18677104;18756267;18809224;18931676;19075014;19217432;19258535;19264559;19282663;19473888;19490890;19595721;19596235;19596236;19622404;19667075;19686080;19772495;19793801;19793861;19793862;19809470;19841479;19847258;20019063;20029420;20081207;20173781;20211143;20227374;20478261;20723763;20832754;21060331;21282463;21337561;21376743;21406556;21527023;21948210;22101340;22257761;22266823;22373527;22505525;22615860;22657828;22743550;22751496;22824526;23085398;23253856;23444773;24050180;24089143;24095737;7533895;7575488;8020957;8264637;8978692
NDUFS3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFS5	N/A
VANGL*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SMURF1	11226259;14704854;14747478;15265686;15618519;16263762;17127310;17884187;18497258;18851840;19020754;19379695;19565474;19853559;20006983;20930545;21087212;21397842;22017973;7641885;8655584
CUL1	CATALYSIS	MTOR	12820959;14536078;15071497;15147722;15340381;15688063;18636226;18787170
NDUFS3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFS6	N/A
E2F1	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PCAF*	10753885;15121871;15123636;15126619
Borealin*	CATALYSIS	BUB1	12925766;14767480;15249581;16571674;17956729
NDUFS3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFS7	N/A
ZEB1	PHYSICAL_STIMULATION	TCF3	19839049;21051859;21224848;225147423
SKP2	CATALYSIS	p27KIP1*	11516665;12820959;15071497;15147722;15340381;15688063
NDUFS8	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFS3	15526035;16200211;16218961;17344420;20025615;20816094
ZEB1	INHIBITION	PATJ*	17012742;17486063;19839049;21224848;225147423
DAB2	INHIBITION	PPP1R*	15518237;17318175;19561074;19581931;20460648;21304492;21498506
Caspase3_sub_TRUNC_endsub_*	CATALYSIS	BRAF	16455648;17613518;19900451;9390557
MMP13*	CATALYSIS	Collagen4*	21900405
_beta_-Arrestin2*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;KNOWN_TRANSITION_OMITTED	LRP5_6*	11226259;11448771;12050670;14704854;14747478;15265686;15618519;16443747;16547521;16965538;17127310;17143292;17426148;17430994;17569865;17884187;18077588;18497258;19020754;19029934;19056682;19072724;19366350;19561074;19565474;19581931;19705439;19718039;19853559;20006983;20059949;20093472;20229235;20460648;20627573;20843316;20940130;210606194;21087212;21285348;21304492;21498506;21602792;21606194;21640127;21727895;21796133;21829496;21909076;22007144;22017973;22433869;23022962;52226983;7641885;8655584
RPA1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XAB2	11900249;12648680;12947387;15459660;15703371;16697054;17102137;17116885;17296725;17386261;17582221;17884153;18677104;19473888;19595721;19596235;19596236;19667075;19686080;19793801;19809470;19847258;20211143;21376743;22101340;22257761;22373527;22743550;22824526;23085398;24050180;7533895
CLSPN	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	MCM6	10882098;11438669;11571269;11877377;11900249;12185086;12535671;12648680;12766152;12875843;12909626;12930902;12947387;12972610;14676842;14726013;15189466;15279786;15459660;15474417;15703371;15798197;16697054;16731533;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17386261;17582221;17608804;17652783;17660363;17884153;17887956;18048416;18082604;18082605;18087292;18196958;18550849;18584027;18590585;18677104;18756267;18809224;18931676;19075014;19217432;19258535;19264559;19282663;19473888;19490890;19595721;19596235;19596236;19622404;19667075;19686080;19772495;19793801;19793861;19793862;19809470;19841479;19847258;20019063;20029420;20081207;20173781;20211143;20227374;20478261;20723763;20832754;21060331;21282463;21337561;21376743;21406556;21527023;21948210;22101340;22257761;22266823;22373527;22505525;22615860;22657828;22743550;22751496;22824526;23085398;23253856;23444773;24050180;24089143;24095737;7533895;7575488;8020957;8264637;8978692
CLSPN	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	MCM7	10882098;11438669;11571269;11877377;11900249;12185086;12535671;12648680;12766152;12875843;12909626;12930902;12947387;12972610;14676842;14726013;15189466;15279786;15459660;15474417;15703371;15798197;16697054;16731533;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17386261;17582221;17608804;17652783;17660363;17884153;17887956;18048416;18082604;18082605;18087292;18196958;18550849;18584027;18590585;18677104;18756267;18809224;18931676;19075014;19217432;19258535;19264559;19282663;19473888;19490890;19595721;19596235;19596236;19622404;19667075;19686080;19772495;19793801;19793861;19793862;19809470;19841479;19847258;20019063;20029420;20081207;20173781;20211143;20227374;20478261;20723763;20832754;21060331;21282463;21337561;21376743;21406556;21527023;21948210;22101340;22257761;22266823;22373527;22505525;22615860;22657828;22743550;22751496;22824526;23085398;23253856;23444773;24050180;24089143;24095737;7533895;7575488;8020957;8264637;8978692
PP2A*	CATALYSIS	POLA*	10921877;12370081;16885030;16916641;17102137;17116885;17296725;17582221;19793801;19890961;21159657;21376459
Actin cytoskeletal*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	Latency-associated protein*	10025398;10544215;11133108;14557817;15548370;16474430;16710477;17934056;18342983;19010789;19854168;19920116;20519943;21883891;21900405;21909923;9931372
RhoA_and_CDC42_GDIs*	INHIBITION	RHOA	11149925;9113980;9490022
HUS1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RAD1	10884395;14726013;15459660;15703371;15871698;16216273;16697054;16731526;16879101;16885023;17129768;17303408;17395641;17426133;17493829;17582221;17855402;18677104;19793801;19847258;20478261;23507534;8943031;9524127
USP34	CATALYSIS	AXIN*	21383061
PARP1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XRCC1	10858306;11163244;11900249;11948190;12032095;12202749;12637553;12648680;14726013;15385537;15385968;15703371;16442856;16449207;16697054;17088286;17116323;17638872;17884153;17965729;18398454;18524993;18558713;18584027;18809224;19208614;19364882;19490890;19546231;19748837;19809470;19847258;20056333;20064462;20211143;20227374;20510258;20603072;20691907;21251944;21270334;21376743;22055391;22469522;22657828;22713970;22743550;22921416;22973052;23082994;23145148;23161013;23253856;23562323;23568489;24036544;24050180;24210699;8264637;8978692
ERK*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RAF1	11226259;11777939;12040186;12479806;12782630;14585353;15547943;15574420;15618519;16227978;16488589;16525728;17178906;17496910;18039929;18497258;19289794;19541618;19565474;19568798;19615955;19853559;21102635
UBC4*	CATALYSIS	RAS*	10514377;17635922
EAF6*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MRG15*	17320397
DVL*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	HTID1_50_48_kDa_isoform*	17143292;17588722;20006983
AP2_sigma_*	PHYSICAL_STIMULATION	_beta_-Arrestin2*	18953287;19910923;20947020;21397842
E1*	CATALYSIS	p27KIP1*	10721693;10722742;12820959;15117942;15147722;15169778;15340381;15531880;16714285;18006823;19218564;19352404;19440234;19459846
CUL1	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SKP*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
RAD9*	INHIBITION	ORC6*	14726013;15459660;15703371;16697054;16885023;17102137;17116885;17296725;17303408;17493829;17582221;19793801;19847258;20478261;8943031;9524127
PCNA	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PARP1	10858306;11948190;12637553;14726013;15703371;16442856;16697054;17088286;18087292;18584027;18809224;19208614;19364882;19748837;19772495;19847258;20056333;20478261;20510258;20603072;21251944;21270334;21376743;22055391;22469522;22713970;22743550;22921416;23145148;23562323;23568489;24050180;24210699
_beta_-actin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BAF57*	17666529;21358755;22290435;22761862
p70_alpha_*	CATALYSIS	CUL1	11108711;12713446;15905173;16286006;17052453;17053147;18423201;19339977;19720745;20647036;20832730;21233202
PCNA	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	LIG1	14726013;15703371;16697054;17088286;19208614;19364882;19847258;20056333;20603072;21270334;21376743;22055391;22469522;22713970;22743550;22921416;23145148;23562323;23568489;24050180;24210699
Menin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	HCF2*	17168535
MTOR	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	EIF4B	12150925;12408816;12844354;12867079;15755954;15905173;16286006;16679021;17368478;17680028;18391071;19339977;19568798;19597330;19864431;20647036;21157483;21177869;21233202
Caspase7*	STATE_TRANSITION	cleaved~Caspase7*	N/A
TRADD	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FADD	N/A
HIF1A	CATALYSIS	SLC2A1	15059920;7493931;9525945
IRAK1	CATALYSIS	MAP2K6	11274345;12738796;18855897;21614932
MDM2	CATALYSIS	FOXO3	11715018;11923280;15084260;15169778;16307918;17158541;19321440;20679392
NDUFC1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFV3	N/A
STAT3	INHIBITION	HIF1A	10973499;18985005
TWIST1	PHYSICAL_STIMULATION	FOXC2	15640618;17537911
NDUFC1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFV2	N/A
NDUFC1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFV1	N/A
ORC6*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MCM5	10882098;11900249;12185086;12648680;12909626;15279786;15459660;15703371;16697054;17102137;17116885;17296725;17303408;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19793801;19809470;19847258;21406556;21527023;7575488
ROR2	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	VANGL*	11226259;11274345;11779461;12533515;12839624;12941693;14704854;14747478;15265686;15375164;15388793;15618519;16263762;16604063;17030191;17127310;17244647;17430994;17884187;17986005;18000759;18256687;18497258;18606138;18851840;18953287;19020754;19151919;19366350;19379695;19565474;19577357;19853559;19910923;20006983;20093472;20215527;20351293;20457807;20579883;20930545;20947020;21069266;21078818;21087212;21262816;2126816;21316585;21380625;21397842;21640127;21796133;22017973;22037766;7641885;8655584
NDUFB8	STATE_TRANSITION	cleaved~NDUFS3*	18485875
p14INK4A*	INHIBITION	MDM2	15856024;17158541
_beta_-Arrestin2*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CK1_gamma_*	11226259;14704854;14747478;15265686;15618519;16443747;16965538;17127310;17143292;17430994;17569865;17884187;18077588;18497258;19020754;19029934;19072724;19366350;19561074;19565474;19581931;19853559;20006983;20059949;20093472;20229235;20460648;20627573;20843316;210606194;21087212;21285348;21304492;21498506;21606194;21640127;21796133;22007144;22017973;22433869;52226983;7641885;8655584
RIPK1	CATALYSIS	Caspase8*	10521396;11788820;19935698;20125124
NFAT2*	INHIBITION	IL2	16406523;17928811;19218564;20452955
E2F6	NEGATIVE_INFLUENCE	H19	15985428
MEK1*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CNA*	11030334;11274345;11402342;15657420;16393692;17439715;21871017;8545107
SUR-8*	UNKNOWN_CATALYSIS	GPCR*	11023813;11226259;17496910;19289794;19541618;19565474
c-SRC*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BCAR1	12473693;14749719;15094799;15308668;15688067;16000375;18829532;9819392
WNT*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RAC1	11226259;11274345;12533515;14704854;14747478;15265686;15618519;17127310;17884187;18000759;18497258;18851840;18953287;19020754;19151919;19565474;19853559;20006983;20093472;20215527;21087212;21380625;21796133;22017973;7641885;8655584
RAC1_2*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NOXA*	N/A
NDUFA10	STATE_TRANSITION	cleaved~NDUFS1*	15186778
CDK6	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	p16INK4A*	10385618;10498883;11960696;12210082;15460900;7606716;8001816;8078588;8259215;8741839
AXIN*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	USP15	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
AXIN*	CATALYSIS;COMPLEX_EXPANSION;DISSOCIATION;HETERODIMER_ASSOCIATION;KNOWN_TRANSITION_OMITTED	_beta_-Arrestin2*	10023660;10581160;10995457;11226259;11274345;11448771;11955436;12000790;12050670;12533515;12820959;12839624;14704854;14747478;15071497;15265686;15340381;15618519;15688063;16039586;16263762;16443747;16547521;16604063;16680151;16965538;17030191;17127310;17143292;17244647;17318175;17426148;17430994;17569865;17884187;17910481;17986005;18000759;18039929;18042541;18077588;18497258;18588945;18606138;18851840;18953287;19020754;19029934;19056682;19072724;19151919;19352404;19366350;19379695;19556239;19561074;19565474;19576224;19581931;19597341;19619488;19705439;19718039;19849719;19853559;19910923;20006983;20059949;20093472;20215527;20229235;20399103;20457807;20460648;20558317;20579883;20627573;20628572;20843316;20930545;20940130;20947020;20976471;210606194;21078818;21087212;21285348;21304492;21316585;21380625;21397842;21411632;21498506;21602792;21606194;21640127;21727895;21796133;21829496;21909076;22007144;22017973;22433869;22682247;22730322;23022962;23277359;23343194;52226983;7641885;8655584
JAG1	HETERODIMER_ASSOCIATION	_beta_-Catenin*	21841793
VANGL*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	G_alpha_*	12839624;14704854;14747478;15265686;16604063;17127310;17244647;17430994;17884187;18606138;18851840;19020754;20093472;20215527;20579883;21087212;21316585;21380625;21397842;21640127;22017973;7641885;8655584
PAR6*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	G_alpha_*	12839624;14704854;14747478;15265686;16604063;17127310;17244647;17430994;17884187;18606138;18851840;19020754;20093472;20215527;20579883;21087212;21316585;21380625;21397842;21640127;22017973;7641885;8655584
YL1*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	p400*	17320397
DVL*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	HSC70*	17143292;17588722;20006983
ROR2	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SYN4*	11226259;11274345;11779461;12533515;12839624;12941693;14704854;14747478;15265686;15375164;15388793;15618519;16263762;16604063;17030191;17127310;17244647;17430994;17884187;17986005;18000759;18256687;18497258;18606138;18851840;18953287;19020754;19151919;19366350;19379695;19565474;19853559;19910923;20006983;20093472;20215527;20351293;20457807;20579883;20930545;20947020;21069266;21078818;21087212;21316585;21380625;21397842;21640127;21796133;22017973;22037766;7641885;8655584
